Cumulative number of confirmed Ebola deaths,Sierra Leone,20150306,3210.0
Cumulative number of probable Ebola deaths,Sierra Leone,20150306,208.0
Cumulative number of suspected Ebola deaths,Sierra Leone,20150306,158.0
Cumulative number of confirmed probable and suspected Ebola cases,United Kingdom,20150306,1.0
Cumulative number of confirmed Ebola cases,Mali,20150306,7.0
Cumulative number of probable Ebola cases,Mali,20150306,1.0
Cumulative number of suspected Ebola cases,Mali,20150306,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Mali,20150306,6.0
Cumulative number of confirmed probable and suspected Ebola cases,Mali,20150306,8.0
Cumulative number of confirmed Ebola cases,Nigeria,20150306,19.0
Cumulative number of probable Ebola cases,Nigeria,20150306,1.0
Cumulative number of suspected Ebola cases,Nigeria,20150306,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Nigeria,20150306,20.0
Cumulative number of confirmed Ebola cases,Senegal,20150306,1.0
Cumulative number of probable Ebola cases,Senegal,20150306,0.0
Cumulative number of suspected Ebola cases,Senegal,20150306,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Senegal,20150306,1.0
Cumulative number of confirmed Ebola cases,Spain,20150306,1.0
Cumulative number of probable Ebola cases,Spain,20150306,0.0
Cumulative number of suspected Ebola cases,Spain,20150306,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Spain,20150306,1.0
Cumulative number of confirmed Ebola cases,United States of America,20150306,4.0
Cumulative number of probable Ebola cases,United States of America,20150306,0.0
Cumulative number of suspected Ebola cases,United States of America,20150306,0.0
Cumulative number of confirmed probable and suspected Ebola cases,United States of America,20150306,4.0
Cumulative number of confirmed Ebola deaths,Nigeria,20150306,7.0
Cumulative number of probable Ebola deaths,Nigeria,20150306,1.0
Cumulative number of suspected Ebola deaths,Nigeria,20150306,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Nigeria,20150306,8.0
Cumulative number of confirmed Ebola deaths,Senegal,20150306,0.0
Cumulative number of probable Ebola deaths,Senegal,20150306,0.0
Cumulative number of suspected Ebola deaths,Senegal,20150306,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Senegal,20150306,0.0
Cumulative number of confirmed Ebola deaths,Spain,20150306,0.0
Cumulative number of probable Ebola deaths,Spain,20150306,0.0
Cumulative number of suspected Ebola deaths,Spain,20150306,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Spain,20150306,0.0
Cumulative number of confirmed Ebola deaths,United States of America,20150306,1.0
Cumulative number of probable Ebola deaths,United States of America,20150306,0.0
Cumulative number of suspected Ebola deaths,United States of America,20150306,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,United States of America,20150306,1.0
Cumulative number of confirmed Ebola cases,United Kingdom,20150305,1.0
Cumulative number of probable Ebola cases,United Kingdom,20150305,0.0
Cumulative number of suspected Ebola cases,United Kingdom,20150305,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,United Kingdom,20150305,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Guinea,20150305,3237.0
Cumulative number of confirmed Ebola cases,Guinea,20150305,2833.0
Cumulative number of probable Ebola cases,Guinea,20150305,392.0
Cumulative number of suspected Ebola cases,Guinea,20150305,12.0
Cumulative number of confirmed probable and suspected Ebola deaths,Guinea,20150305,2141.0
Cumulative number of confirmed Ebola deaths,Guinea,20150305,1749.0
Cumulative number of probable Ebola deaths,Guinea,20150305,392.0
Cumulative number of confirmed probable and suspected Ebola cases,Liberia,20150305,9249.0
Cumulative number of confirmed Ebola cases,Liberia,20150305,3150.0
Cumulative number of probable Ebola cases,Liberia,20150305,1877.0
Cumulative number of suspected Ebola cases,Liberia,20150305,4222.0
Cumulative number of confirmed probable and suspected Ebola deaths,Liberia,20150305,4117.0
Cumulative number of confirmed probable and suspected Ebola cases,Sierra Leone,20150305,11497.0
Cumulative number of confirmed Ebola cases,Sierra Leone,20150305,8383.0
Cumulative number of probable Ebola cases,Sierra Leone,20150305,287.0
Cumulative number of suspected Ebola cases,Sierra Leone,20150305,2827.0
Cumulative number of confirmed probable and suspected Ebola deaths,Sierra Leone,20150305,3565.0
Cumulative number of confirmed Ebola deaths,Sierra Leone,20150305,3199.0
Cumulative number of probable Ebola deaths,Sierra Leone,20150305,208.0
Cumulative number of suspected Ebola deaths,Sierra Leone,20150305,158.0
Cumulative number of confirmed probable and suspected Ebola cases,United Kingdom,20150305,1.0
Cumulative number of confirmed Ebola cases,Mali,20150305,7.0
Cumulative number of probable Ebola cases,Mali,20150305,1.0
Cumulative number of suspected Ebola cases,Mali,20150305,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Mali,20150305,6.0
Cumulative number of confirmed probable and suspected Ebola cases,Mali,20150305,8.0
Cumulative number of confirmed Ebola cases,Nigeria,20150305,19.0
Cumulative number of probable Ebola cases,Nigeria,20150305,1.0
Cumulative number of suspected Ebola cases,Nigeria,20150305,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Nigeria,20150305,20.0
Cumulative number of confirmed Ebola cases,Senegal,20150305,1.0
Cumulative number of probable Ebola cases,Senegal,20150305,0.0
Cumulative number of suspected Ebola cases,Senegal,20150305,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Senegal,20150305,1.0
Cumulative number of confirmed Ebola cases,Spain,20150305,1.0
Cumulative number of probable Ebola cases,Spain,20150305,0.0
Cumulative number of suspected Ebola cases,Spain,20150305,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Spain,20150305,1.0
Cumulative number of confirmed Ebola cases,United States of America,20150305,4.0
Cumulative number of probable Ebola cases,United States of America,20150305,0.0
Cumulative number of suspected Ebola cases,United States of America,20150305,0.0
Cumulative number of confirmed probable and suspected Ebola cases,United States of America,20150305,4.0
Cumulative number of confirmed Ebola deaths,Nigeria,20150305,7.0
Cumulative number of probable Ebola deaths,Nigeria,20150305,1.0
Cumulative number of suspected Ebola deaths,Nigeria,20150305,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Nigeria,20150305,8.0
